scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4534.65,8.09
scenario3,dataset_002,4856.47,5.88
scenario3,dataset_003,6581.34,4.94
scenario3,dataset_004,4945.60,5.99
scenario3,dataset_005,5080.25,6.05
scenario3,dataset_006,5528.24,5.27
scenario3,dataset_007,4583.99,4.37
scenario3,dataset_008,4746.80,4.83
scenario3,dataset_009,5301.73,5.54
scenario3,dataset_010,5388.75,5.03
scenario3,dataset_011,6354.12,6.48
scenario3,dataset_012,4817.68,5.04
scenario3,dataset_013,5831.86,5.51
scenario3,dataset_014,4881.26,5.14
scenario3,dataset_015,5689.18,7.27
scenario3,dataset_016,5941.63,5.78
scenario3,dataset_017,5658.50,5.37
scenario3,dataset_018,5217.54,4.28
scenario3,dataset_019,6123.59,5.39
scenario3,dataset_020,4718.47,4.65
scenario3,dataset_021,5674.76,4.98
scenario3,dataset_022,5275.55,4.62
scenario3,dataset_023,5077.75,4.35
scenario3,dataset_024,5303.30,4.24
scenario3,dataset_025,4931.76,4.17
scenario3,dataset_026,5518.69,4.52
scenario3,dataset_027,6024.29,5.45
scenario3,dataset_028,4679.74,4.37
scenario3,dataset_029,5964.54,5.34
scenario3,dataset_030,5039.82,4.52
scenario3,dataset_031,5302.89,4.92
scenario3,dataset_032,5264.09,4.17
scenario3,dataset_033,5118.94,4.42
scenario3,dataset_034,5069.99,4.38
scenario3,dataset_035,5368.83,4.19
scenario3,dataset_036,4790.07,4.88
scenario3,dataset_037,6208.04,4.27
scenario3,dataset_038,6236.09,4.82
scenario3,dataset_039,5305.42,4.49
scenario3,dataset_040,5225.41,4.08
scenario3,dataset_041,6446.19,4.33
scenario3,dataset_042,5109.40,4.42
scenario3,dataset_043,5476.85,4.20
scenario3,dataset_044,5846.77,4.42
scenario3,dataset_045,5215.89,5.22
scenario3,dataset_046,4851.90,4.17
scenario3,dataset_047,4985.27,4.35
scenario3,dataset_048,5668.18,4.52
scenario3,dataset_049,4456.65,4.46
scenario3,dataset_050,5065.93,4.69
scenario3,dataset_051,5280.84,4.47
scenario3,dataset_052,4962.56,4.02
scenario3,dataset_053,6114.49,5.02
scenario3,dataset_054,5243.64,4.37
scenario3,dataset_055,6662.55,4.87
scenario3,dataset_056,5390.85,4.69
scenario3,dataset_057,6169.37,4.89
scenario3,dataset_058,6441.52,5.49
scenario3,dataset_059,6665.90,5.31
scenario3,dataset_060,6305.00,6.14
scenario3,dataset_061,4967.21,4.21
scenario3,dataset_062,5310.90,5.00
scenario3,dataset_063,4825.74,4.70
scenario3,dataset_064,4566.97,4.38
scenario3,dataset_065,5226.58,4.86
scenario3,dataset_066,5415.17,4.33
scenario3,dataset_067,4702.63,4.09
scenario3,dataset_068,4811.28,4.07
scenario3,dataset_069,5311.06,4.26
scenario3,dataset_070,5426.92,4.52
scenario3,dataset_071,4785.71,4.76
scenario3,dataset_072,5544.91,4.11
scenario3,dataset_073,6379.96,4.78
scenario3,dataset_074,5368.16,4.09
scenario3,dataset_075,4822.14,4.69
scenario3,dataset_076,6303.15,4.80
scenario3,dataset_077,5108.21,4.68
scenario3,dataset_078,5567.40,4.51
scenario3,dataset_079,5814.10,5.31
scenario3,dataset_080,4777.12,3.85
scenario3,dataset_081,4701.60,4.41
scenario3,dataset_082,5185.09,4.95
scenario3,dataset_083,5852.99,5.38
scenario3,dataset_084,4953.77,4.11
scenario3,dataset_085,5582.75,4.93
scenario3,dataset_086,5372.90,3.97
scenario3,dataset_087,6135.70,5.26
scenario3,dataset_088,5256.60,4.41
scenario3,dataset_089,5010.08,3.94
scenario3,dataset_090,5791.74,4.78
scenario3,dataset_091,5453.96,4.87
scenario3,dataset_092,5149.81,4.57
scenario3,dataset_093,5359.06,4.30
scenario3,dataset_094,5699.76,5.51
scenario3,dataset_095,5156.96,3.95
scenario3,dataset_096,5874.32,4.47
scenario3,dataset_097,5637.08,4.16
scenario3,dataset_098,5385.98,3.78
scenario3,dataset_099,6635.50,4.22
scenario3,dataset_100,5297.69,4.94
