scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,5591.46,3.85
scenario3,dataset_002,6408.85,3.52
scenario3,dataset_003,8048.56,4.22
scenario3,dataset_004,6296.31,3.64
scenario3,dataset_005,6710.26,3.59
scenario3,dataset_006,7275.46,3.84
scenario3,dataset_007,6011.09,4.25
scenario3,dataset_008,6062.26,4.09
scenario3,dataset_009,7026.73,3.94
scenario3,dataset_010,7078.48,4.13
scenario3,dataset_011,8234.39,5.24
scenario3,dataset_012,6090.05,4.68
scenario3,dataset_013,7513.21,5.67
scenario3,dataset_014,6302.64,4.06
scenario3,dataset_015,7470.19,5.70
scenario3,dataset_016,7672.26,4.69
scenario3,dataset_017,7721.12,5.49
scenario3,dataset_018,6965.54,4.83
scenario3,dataset_019,7993.10,4.97
scenario3,dataset_020,6054.52,3.98
scenario3,dataset_021,7305.17,4.07
scenario3,dataset_022,6745.59,3.59
scenario3,dataset_023,6617.08,3.12
scenario3,dataset_024,6854.57,3.00
scenario3,dataset_025,6052.54,3.81
scenario3,dataset_026,7045.62,3.80
scenario3,dataset_027,7764.49,3.20
scenario3,dataset_028,6019.40,3.07
scenario3,dataset_029,7803.49,3.20
scenario3,dataset_030,6052.92,3.11
scenario3,dataset_031,6960.78,4.23
scenario3,dataset_032,6877.38,3.86
scenario3,dataset_033,6739.31,3.97
scenario3,dataset_034,6154.67,3.78
scenario3,dataset_035,7133.32,3.91
scenario3,dataset_036,5765.82,4.16
scenario3,dataset_037,7972.95,4.63
scenario3,dataset_038,8113.16,4.61
scenario3,dataset_039,6850.54,4.51
scenario3,dataset_040,6430.23,4.55
scenario3,dataset_041,7646.13,5.31
scenario3,dataset_042,6377.55,5.00
scenario3,dataset_043,7205.00,4.29
scenario3,dataset_044,7220.39,7.55
scenario3,dataset_045,6735.29,6.91
scenario3,dataset_046,6236.41,4.41
scenario3,dataset_047,6477.15,4.13
scenario3,dataset_048,7084.49,3.52
scenario3,dataset_049,5839.46,3.98
scenario3,dataset_050,6674.62,4.22
scenario3,dataset_051,6537.20,3.68
scenario3,dataset_052,6546.88,4.03
scenario3,dataset_053,7894.81,4.69
scenario3,dataset_054,6740.62,3.51
scenario3,dataset_055,8698.02,3.12
scenario3,dataset_056,6820.90,4.58
scenario3,dataset_057,8269.42,4.63
scenario3,dataset_058,8557.87,4.58
scenario3,dataset_059,8065.89,3.14
scenario3,dataset_060,8445.26,2.91
scenario3,dataset_061,6212.92,2.08
scenario3,dataset_062,7016.38,2.69
scenario3,dataset_063,6357.86,2.92
scenario3,dataset_064,5582.33,3.33
scenario3,dataset_065,6528.38,3.34
scenario3,dataset_066,6814.07,3.35
scenario3,dataset_067,6102.96,2.98
scenario3,dataset_068,6116.61,2.85
scenario3,dataset_069,7138.06,2.42
scenario3,dataset_070,6853.65,2.55
scenario3,dataset_071,5977.84,2.30
scenario3,dataset_072,7144.87,2.66
scenario3,dataset_073,8695.64,3.87
scenario3,dataset_074,7157.33,3.82
scenario3,dataset_075,6154.88,3.34
scenario3,dataset_076,8107.05,3.58
scenario3,dataset_077,6601.44,3.26
scenario3,dataset_078,7221.75,3.55
scenario3,dataset_079,7484.90,3.57
scenario3,dataset_080,5861.01,3.17
scenario3,dataset_081,6169.75,2.81
scenario3,dataset_082,6932.84,2.80
scenario3,dataset_083,7367.73,2.66
scenario3,dataset_084,6428.37,3.25
scenario3,dataset_085,7191.34,4.56
scenario3,dataset_086,6989.20,4.13
scenario3,dataset_087,8232.73,3.68
scenario3,dataset_088,6699.53,4.20
scenario3,dataset_089,6445.02,4.55
scenario3,dataset_090,7697.24,4.62
scenario3,dataset_091,6813.70,3.40
scenario3,dataset_092,6482.37,3.55
scenario3,dataset_093,6900.29,3.95
scenario3,dataset_094,7329.66,3.23
scenario3,dataset_095,6707.05,2.44
scenario3,dataset_096,7623.88,4.47
scenario3,dataset_097,7394.89,3.28
scenario3,dataset_098,7040.77,3.52
scenario3,dataset_099,8976.23,4.97
scenario3,dataset_100,6843.34,4.45
