capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,849194.5600,8491.9456,288.3500,100,ok,true
50,811457.2000,8114.5720,334.6900,100,ok,true
90,697254.7300,6972.5473,388.9000,100,ok,true
150,541050.0300,5410.5003,497.6500,100,ok,true
200,518671.0700,5186.7107,491.4300,100,ok,true
250,518671.0700,5186.7107,555.9900,100,ok,true
300,518671.0700,5186.7107,591.7500,100,ok,true
350,518671.0700,5186.7107,511.0900,100,ok,true
400,518671.0700,5186.7107,591.5200,100,ok,true
500,518671.0700,5186.7107,480.7200,100,ok,true
