scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,32057.45,315.27
scenario3,dataset_002,35473.07,356.78
scenario3,dataset_003,39382.62,423.71
scenario3,dataset_004,37955.31,387.92
scenario3,dataset_005,41677.04,377.06
scenario3,dataset_006,31522.40,311.90
scenario3,dataset_007,32232.44,331.51
scenario3,dataset_008,33048.16,323.67
scenario3,dataset_009,29854.56,319.83
scenario3,dataset_010,33086.25,316.97
scenario3,dataset_011,30912.73,353.80
scenario3,dataset_012,30614.49,332.67
scenario3,dataset_013,32391.04,358.30
scenario3,dataset_014,31038.15,328.92
scenario3,dataset_015,30639.09,309.37
scenario3,dataset_016,31907.36,318.95
scenario3,dataset_017,29459.50,302.73
scenario3,dataset_018,32241.85,312.97
scenario3,dataset_019,34062.49,341.38
scenario3,dataset_020,30121.50,348.14
scenario3,dataset_021,35937.45,368.01
scenario3,dataset_022,33290.12,373.04
scenario3,dataset_023,29398.16,311.46
scenario3,dataset_024,29865.81,306.77
scenario3,dataset_025,34297.35,329.18
scenario3,dataset_026,35003.35,366.78
scenario3,dataset_027,34636.26,334.20
scenario3,dataset_028,31030.62,350.95
scenario3,dataset_029,32364.82,371.35
scenario3,dataset_030,33268.06,352.62
scenario3,dataset_031,32348.81,320.12
scenario3,dataset_032,32596.94,337.26
scenario3,dataset_033,30311.49,304.88
scenario3,dataset_034,31177.53,323.69
scenario3,dataset_035,37183.46,408.73
scenario3,dataset_036,31050.82,337.48
scenario3,dataset_037,30937.53,348.07
scenario3,dataset_038,47124.14,386.41
scenario3,dataset_039,32881.18,309.35
scenario3,dataset_040,33033.28,340.83
scenario3,dataset_041,32717.25,334.39
scenario3,dataset_042,32818.97,333.64
scenario3,dataset_043,30806.68,307.79
scenario3,dataset_044,30789.46,326.56
scenario3,dataset_045,33640.97,330.28
scenario3,dataset_046,35083.71,351.08
scenario3,dataset_047,30571.10,309.74
scenario3,dataset_048,27634.55,324.38
scenario3,dataset_049,33276.54,331.34
scenario3,dataset_050,34243.01,378.75
